DATE,UNRATE
01/01/1976,7.9
04/01/1976,7.7
07/01/1976,7.8
10/01/1976,7.7
01/01/1977,7.5
04/01/1977,7.2
07/01/1977,6.9
10/01/1977,6.8
01/01/1978,6.4
04/01/1978,6.1
07/01/1978,6.2
10/01/1978,5.8
01/01/1979,5.9
04/01/1979,5.8
07/01/1979,5.7
10/01/1979,6
01/01/1980,6.3
04/01/1980,6.9
07/01/1980,7.8
10/01/1980,7.5
01/01/1981,7.5
04/01/1981,7.2
07/01/1981,7.2
10/01/1981,7.9
01/01/1982,8.6
04/01/1982,9.3
07/01/1982,9.8
10/01/1982,10.4
01/01/1983,10.4
04/01/1983,10.2
07/01/1983,9.4
10/01/1983,8.8
01/01/1984,8
04/01/1984,7.7
07/01/1984,7.5
10/01/1984,7.4
01/01/1985,7.3
04/01/1985,7.3
07/01/1985,7.4
10/01/1985,7.1
01/01/1986,6.7
04/01/1986,7.1
07/01/1986,7
10/01/1986,7
01/01/1987,6.6
04/01/1987,6.3
07/01/1987,6.1
10/01/1987,6
01/01/1988,5.7
04/01/1988,5.4
07/01/1988,5.4
10/01/1988,5.4
01/01/1989,5.4
04/01/1989,5.2
07/01/1989,5.2
10/01/1989,5.3
01/01/1990,5.4
04/01/1990,5.4
07/01/1990,5.5
10/01/1990,5.9
01/01/1991,6.4
04/01/1991,6.7
07/01/1991,6.8
10/01/1991,7
01/01/1992,7.3
04/01/1992,7.4
07/01/1992,7.7
10/01/1992,7.3
01/01/1993,7.3
04/01/1993,7.1
07/01/1993,6.9
10/01/1993,6.8
01/01/1994,6.6
04/01/1994,6.4
07/01/1994,6.1
10/01/1994,5.8
01/01/1995,5.6
04/01/1995,5.8
07/01/1995,5.7
10/01/1995,5.5
01/01/1996,5.6
04/01/1996,5.6
07/01/1996,5.5
10/01/1996,5.2
01/01/1997,5.3
04/01/1997,5.1
07/01/1997,4.9
10/01/1997,4.7
01/01/1998,4.6
04/01/1998,4.3
07/01/1998,4.5
10/01/1998,4.5
01/01/1999,4.3
04/01/1999,4.3
07/01/1999,4.3
10/01/1999,4.1
01/01/2000,4
04/01/2000,3.8
07/01/2000,4
10/01/2000,3.9
01/01/2001,4.2
04/01/2001,4.4
07/01/2001,4.6
10/01/2001,5.3
01/01/2002,5.7
04/01/2002,5.9
07/01/2002,5.8
10/01/2002,5.7
01/01/2003,5.8
04/01/2003,6
07/01/2003,6.2
10/01/2003,6
01/01/2004,5.7
04/01/2004,5.6
07/01/2004,5.5
10/01/2004,5.5
01/01/2005,5.3
04/01/2005,5.2
07/01/2005,5
10/01/2005,5
01/01/2006,4.7
04/01/2006,4.7
07/01/2006,4.7
10/01/2006,4.4
01/01/2007,4.6
04/01/2007,4.5
07/01/2007,4.7
10/01/2007,4.7
01/01/2008,5
04/01/2008,5
07/01/2008,5.8
10/01/2008,6.5
01/01/2009,7.8
04/01/2009,9
07/01/2009,9.5
10/01/2009,10
01/01/2010,9.8
04/01/2010,9.9
07/01/2010,9.4
10/01/2010,9.4
01/01/2011,9.1
04/01/2011,9.1
07/01/2011,9
10/01/2011,8.8
01/01/2012,8.3
04/01/2012,8.2
07/01/2012,8.2
10/01/2012,7.8
01/01/2013,8
04/01/2013,7.6
07/01/2013,7.3
10/01/2013,7.2
01/01/2014,6.6
04/01/2014,6.2
07/01/2014,6.2
10/01/2014,5.7
01/01/2015,5.7
04/01/2015,5.4
07/01/2015,5.2
10/01/2015,5
01/01/2016,4.8
04/01/2016,5.1
07/01/2016,4.8
10/01/2016,4.9
01/01/2017,4.7
04/01/2017,4.4
07/01/2017,4.3
10/01/2017,4.2
01/01/2018,4
04/01/2018,4
07/01/2018,3.8
10/01/2018,3.8
01/01/2019,4
04/01/2019,3.7
07/01/2019,3.7
10/01/2019,3.6
01/01/2020,3.6
04/01/2020,14.8
07/01/2020,10.2
10/01/2020,6.8
01/01/2021,6.4
04/01/2021,6.1
07/01/2021,5.4
10/01/2021,4.5
01/01/2022,4
04/01/2022,3.7
07/01/2022,3.5
10/01/2022,3.6
01/01/2023,3.4
04/01/2023,3.4
07/01/2023,3.5
10/01/2023,3.8
01/01/2024,3.7
03/01/2024,3.8
05/01/2024,4
07/01/2024,4.3
